Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",INFOWARS FAN,https://x.com/InfoWars_tv,InfoWars_tv,True,2023-10-07 22:01:20+00:00,False,"🚨Emergency Israel Report🚨

🚨Biden's Iranian Handouts 
      Threatens National Security

Oct 7, 2023 Bowne Report

A beast in the middle east has been unleashed as a spokesperson for Hamas declared that Operation Al-Aqsa Flood had begun and that they had decided ""....to put an https://t.co/giz1l9of9o",1710777353117294737,https://x.com/InfoWars_tv/status/1710777353117294737,25,187,432,68265,32,https://pbs.twimg.com/ext_tw_video_thumb/1710777044802375681/pu/img/IjqEB2e7BW76YGYL.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Dave Pellowe,https://x.com/DavePellowe,DavePellowe,True,2023-10-07 23:22:44+00:00,False,"The war against Israel is just that. There is no nuance or complication. Hamas are demon possessed terrorists who hate Jews and are simply trying to kill as many Jews as possible.

The stateless Arabs in #Gaza &amp; the West Bank are descendants of refugees of an Arab war against https://t.co/sgw0YefBxu",1710797838639358345,https://x.com/DavePellowe/status/1710797838639358345,248,509,2225,395633,65,https://pbs.twimg.com/media/F735kW-aoAArdKX.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query","Victoria, Queen of Snark",https://x.com/_HRH_Victoria_,_HRH_Victoria_,True,2023-10-07 23:59:34+00:00,False,Israeli mom and her two daughters were kidnapped and taken hostage by Hamas. How do women and children civilians pose a threat? (Shared from Hananya Naftali) https://t.co/thHEb2h3Y7,1710807107367248236,https://x.com/_HRH_Victoria_/status/1710807107367248236,1,2,6,618,0,https://pbs.twimg.com/media/F74B_uPXEAAM9tN.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",IMS | #MuslimIdentity | SahilAdeem,https://x.com/IMS_Dawah,IMS_Dawah,False,2023-10-07 14:10:29+00:00,False,"2 Rakat Nafl in Al-Aqsa and #Israel is Over
From Kaaba to #Palestine Mission

#Hamas #طوفان_الأقصى #IsraeliOccupation #حماس #حماس_تروریست #FreePalestineNow #Gaza #IsraeliCrimes ""Terrorist"" #إسرائيل #فلسطین #SahilAdeem #Muslim_Identity #IslamicMessagingSystem https://t.co/nFmUZF7Kly",1710658861684900349,https://x.com/IMS_Dawah/status/1710658861684900349,14,206,268,57425,4,https://pbs.twimg.com/ext_tw_video_thumb/1710658820081655808/pu/img/2sdgu6ygBAnTlFBu.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Miroslav 🇨🇳⬛⬜,https://x.com/slavomir_YU,slavomir_YU,False,2023-10-07 23:59:46+00:00,False,Hamas harden your heart https://t.co/OqPeYlp6uS,1710807159406026779,https://x.com/slavomir_YU/status/1710807159406026779,0,8,122,5468,1,https://pbs.twimg.com/media/F74CC4sXIAAGErx.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Bot News,https://x.com/BotNews18,BotNews18,True,2023-10-07 23:59:50+00:00,False,"🚨 #BREAKING | #Israel |#Palestine | #Falasteen | #Gaza | 
#غزة | #فلسطين

Video of the latest rocket attack towards Ashkelon. https://t.co/T9dPJSKBxs",1710807174304223599,https://x.com/BotNews18/status/1710807174304223599,0,3,3,5185,0,https://pbs.twimg.com/ext_tw_video_thumb/1710807157321420800/pu/img/0DSru3gAhUTMdBYZ.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Ish Ahmad Yousafzai,https://x.com/IshAhmaad,IshAhmaad,False,2023-10-07 14:36:41+00:00,False,"More than 150,000 Palestinians have been killed and injured by criminal and illegal state Israel,Since 2008,  

33000 of those were children's. But no one talk about it.

No one calls them terrorist.. Why ..? 

.
#طوفان_الأقصى #Palestine #Hamas  
#Israel #فلسطين #الأهلي_الاتحاد https://t.co/9qW4VAxQwm",1710665454241616196,https://x.com/IshAhmaad/status/1710665454241616196,42,133,304,130780,14,https://pbs.twimg.com/ext_tw_video_thumb/1710665403662512128/pu/img/Np-pahw2ypSLSdhI.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Daily Wire News,https://x.com/DailyWireNews,DailyWireNews,False,2023-10-07 23:59:34+00:00,False,‘Pray For Us’: American Woman Hides For Hours In Home Near Gaza As Hamas Terrorists Attack https://t.co/pJ3LxqCCxW https://t.co/3qgSrasWnm,1710807106260246816,https://x.com/DailyWireNews/status/1710807106260246816,8,12,65,5520,0,https://pbs.twimg.com/media/F74B_zjbQAAUB1p.jpg,False,,,,,en
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",Sadaf Afreen صدف,https://x.com/s_afreen7,s_afreen7,True,2023-10-07 11:53:32+00:00,False,"फिलिस्तीनियों ने पहले मज़लूम यहूदियों को अपनी ज़मीन बसने के लिए दी!

फिर धीरे धीरे यहूदियों ने फिलिस्तीन के खिलाफ हिंसा करना शुरू कर दिया और धीरे धीरे फिलिस्तीन की ज़मीन पर कब्ज़ा कर लिया!

फिर बड़ी साज़िश के तहत अलग देश इजराइल बना दिया!

और फिर बड़े लेवल पर यहूदियों ने फिलिस्तीन https://t.co/B1QUSC1DVp",1710624396157886736,https://x.com/s_afreen7/status/1710624396157886736,612,900,2038,114460,26,https://pbs.twimg.com/media/F71b0pQWUAEqrsB.jpg,False,,,,,hi
"(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire)","https://x.com/search?q=(Palestine, OR Israel, OR Hamas, OR Gaza, OR Zionism, OR Apartheid, OR West OR Bank, OR IDF, OR Free OR Palestine, OR Occupation, OR Ethnic OR cleansing, OR Ceasefire) lang:en until:2023-10-08 since:2023-10-07&src=typed_query",˼مجيدوؤھ. 🇵🇸 𓃵🇸🇦,https://x.com/mksa305,mksa305,False,2023-10-07 23:59:50+00:00,False,"194 countries have to admit that #isreal have no country
 isreal are illegal state 
#AlAqsaFlood #Hezbollah #Hamas #طوفان_القدس #طوفان_الأقصى 
We will never ever accept isreal as state 
#PalestineForever https://t.co/n9r04yTtvd",1710807177101808126,https://x.com/mksa305/status/1710807177101808126,0,4,5,3539,0,https://pbs.twimg.com/ext_tw_video_thumb/1710807137465589760/pu/img/QEK5drMtKEZa4_Or.jpg,False,,,,,en
