likes,cleaned_text
27697,lsrael killed 350 palestinians in the last 24 hours in gaza the total without the missing is 17177
22,the cries of the children of gaza as they died the screams as their limbs were torn from them have been heard by us all we all will give voice to their pain that voice will be deployed to the faces of those responsible for these myriad war crimes we will be the conscience for those without any
2043,the killing of refaat alareer is a testament that israel is systematically murdering the truth tellers in gaza this should enrage any and every journalist
52312,this is gaza if these images have not troubled you for the last two months this is not going to bother you now see a doctor
28138,childhood in gaza under the israeli genocide
4184,i am still alive gaza
29416,only in gaza do you become an orphan and a parent at the age of 7 these children are having to endure unimaginable pain and take on responsibilities far far beyond their age how cruel your oppressors are my little loves theyre waging a war on your innocent souls
87,this hanukkah we need to rededicate ourselves to action for a ceasefire and a free palestine i wrote this piece for about jewish fast for gaza hanukkah is a time for palestine solidarity from fasting to public disruption
119,new gaza may soon become a bigger war us officials fear israel wants weapons to fight in lebanon israel wont share plans w biden admin or congress top officials discuss iraqsyria escalation aid orgs ringing alarm bell more than they ever have
760,no difference gaza_geniocide
4160,schools are being targeted israeli snipers positioned on top of a school where displaced people are seeking refuge from constant bombardment in gaza city earlier today another massacre took place at a school housing refugees in northern gaza
5393,at least 100 hamas terrorists captured by idf forces today propalestinian accounts are attempting to claim these people are innocent civilians and journalists these terrorists are from the shejaiya battalion operates in the shejaiya neighborhood of gaza and is responsible for numerous attacks against israel they were heavily involved in the october 7th attacks in israel
11008,another good day for the idf hamas will soon have lost control of all parts of gaza
5764,tiktok banned after i posted videos on how children are being raped in israeli prisons israel is covering it up and how israel plans on salting gaza which will render the land uninhabitable my new tiktok page is free palestine
2271,openprobe having gained popularity among international audiences the gaza report positioned itself as a reliable local news outlet on a global scale however skepticism has arisen challenging its credibility and casting doubt on its status as a trustworthy source as we began to notice its tendency to disseminate information aligning with israels narrative
11255,george floyd was all over the walls in occupied palestine from gaza to the west bank palestinians have supported black lives matter and sent virtual tips for the ferguson protesters to deal with tear gas meanwhile israel trains american police to kill black people blm
3430,refaat alareer palestinian writer and reporter from gaza before he was killed along with his family if i get killed by israeli bombs or my family is harmed i blame bari weiss and her likes
607,do you want me to respect this world sorry i cant we ant a humans if we are just watching this silently israel bombed and killed his family in gaza now he have them in a bag on the way to bury them israelibutchers
887,the majority of young people in gaza you see today on social media writing in english are his students so he trained an army of writers and bloggers to write and to tell the story
7168,hi palestinians in gaza you took part in the october 7 massacre and committed some of the most horrendous crimes you celebrated in the streets as israeli hostages were paraded you thanked god for giving you that glorious victory look around you now was it worth it
23,writing is a testimony a memory that outlives any human experience and an obligation to communicate with ourselves and the world we lived for a reason to tell the tales of loss of survival and of hope i told my students refaat alareer in light in gaza
74707,israeli army arrested palestinian civilians from a school in beit lahia in the north of gaza strip and forced them to take off their cloths and left them in the cold street before detaining them they were all civilians
24560,i am dr rafat alaraeer 44 years old im an academic and lecturer at the islamic university of gaza teaching foreign poetry and english literature ive participated in writing novels and books about the challenges of life in gaza under israeli blockade ive been very active in exposing israeli crimes on social media i always used to say when we write about martyrs it must be known that the israeli occupation killed them we must not leave the perpetrator unknown the last thing i said was the situation is very bleak we dont even have water i only have my pen ill throw it at the occupation soldiers if they invade even if thats the last thing i do we have nothing to lose my brother was martyred by the israeli occupation in the 2014 war and today i bid you farewell my family and i are going to paradise next to my brother dr rafat was martyred in an assassination carried out by the israeli occupation he and his family were martyred today december 7 2023
2900,israel now admits it overestimated by hundreds the number of israelis killed on 7th october they also admit the gaza ministry of health data on palestinians killed are accurate will our media and politicians learn to stop believing israel and start trusting palestinians
36083,what should we do drown commit mass suicide is that what israel wants the haunting words of dr refaat alareer who has now been killed by israel in gaza
0,who spent his life trying to get gazas voice to the outside world if thats gazas voice the world should know why there is no peace spoiler alert its not the fault of israel
17514,i was in ukraine when families just like these palestinians were forced to flee and the world opened its heart to them i do not understand now why the world has closed its eyes unicef spokesman reporting live from gaza stopgazagenocide
