username,text,likes
@MuhammadSmiry,lsrael killed 350 Palestinians in the last 24 hours in Gaza  The total without the missing is 17177.,27697
@mohammedakunjee,"The cries of the children of Gaza as they died, the screams as their limbs were torn from them have been heard by us all . We all will give voice to their pain, that voice will be deployed to the faces of those responsible for these myriad war crimes. We will be the conscience for those without any.",22
@mynameisjro,The killing of Refaat Alareer is a testament that Israel is systematically murdering the truth tellers in Gaza. This should enrage any and every journalist.,2043
@ashoswai,"This is Gaza! If these images have not troubled you for the last two months, this is not going to bother you now. See a doctor.",52312
@jacksonhinklle,💔🇵🇸 Childhood in Gaza under the ISRAELI GENOCIDE!,28138
@MuhammadSmiry,I am still alive | Gaza,4184
@zaramagnusson,"Only in Gaza do you become an orphan and a parent at the age of 7 💔   These children are having to endure unimaginable pain and take on responsibilities far, far beyond their age 🥹   How cruel your oppressors are my little loves, they’re waging a war on your innocent souls 😞💔",29416
@MayaSchenwar,"This Hanukkah, we need to rededicate ourselves to action for a ceasefire and a free Palestine. I wrote this piece for @truthout & @inthesetimesmag about Jewish Fast for Gaza.  Hanukkah Is a Time for Palestine Solidarity, From Fasting to Public Disruption https://truthout.org/articles/hanukkah-is-a-time-for-palestine-solidarity-from-fasting-to-public-disruption/",87
@AkbarSAhmed,"NEW: Gaza may soon become a bigger war - US officials fear Israel wants weapons to fight in Lebanon - Israel won't share plans w/ Biden admin or Congress - Top officials discuss Iraq/Syria escalation - Aid orgs ""ringing alarm bell more than they ever have"" https://www.huffpost.com/entry/israel-gaza-war-lebanon-iran-us-yemen_n_65724dd5e4b001ec86a76c9a?gae",119
@Shirinkhan0,No difference  #Gaza_Geniocide,760
@Timesofgaza,Schools Are Being Targeted :  Israeli snipers positioned on top of a school where displaced people are seeking refuge from constant bombardment in Gaza City.  Earlier today another massacre took place at a school housing refugees in Northern Gaza.,4160
@OliLondonTV,At least 100 Hamas terrorists captured by IDF Forces today.   Pro-Palestinian accounts are attempting to claim these people are ‘innocent civilians’ and ‘journalists.’  These terrorists are from the Shejaiya Battalion operates in the Shejaiya neighborhood of Gaza and is responsible for numerous attacks against Israel.   They were heavily involved in the October 7th attacks in Israel.,5393
@visegrad24,Another good day for the IDF  Hamas will soon have lost control of all parts of Gaza,11008
@KatanaSpeaks,"TikTok banned @WomenPhilosophers after I posted videos on:  How children are being raped in Israeli prisons & Israel is covering it up and,  How Israel plans on salting Gaza which will render the land uninhabitable  My new TikTok page is @HanaKatanaDragonSlayer   Free Palestine🇵🇸",5764
@EekadFacts,"#OpenProbe🧵 | Having gained popularity among international audiences, the Gaza Report positioned itself as a reliable local news outlet on a global scale. However, skepticism has arisen, challenging its credibility and casting doubt on its status as a trustworthy source, as we began to notice its tendency to disseminate information aligning with Israel’s narrative.  @gaza_report",2271
@itranslate123,"George Floyd was all over the walls in occupied Palestine 🇵🇸, from Gaza to the West Bank.  Palestinians have supported Black Lives Matter and sent virtual tips for the Ferguson protesters to deal with tear gas.  Meanwhile, Israel trains American police to kill Black people. #blm",11255
@zei_squirrel,"Refaat Alareer, Palestinian writer and reporter from Gaza, before he was killed along with his family: ""If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss and her likes.""",3430
@Bernadotte22,"do you want me to respect this world ????? Sorry i can’t   😭💔we ant a humans if we are just watching this silently   Israel bombed and killed his family in Gaza Now he have them in a bag, on the way to bury them.  #IsraeliButchers",607
@malsaafin,“The majority of young people [in Gaza] you see today on social media writing in English are his students. So he trained an army of writers and bloggers to write and to tell the story.”,887
@DrEliDavid,"Hi Palestinians in Gaza 👋  You took part in the October 7 massacre, and committed some of the most horrendous crimes. You celebrated in the streets as Israeli hostages were paraded. You thanked God for giving you that “glorious victory”.  Look around you now. Was it worth it?",7168
